series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	CU_USD	2626785.849896	2115707.36993	2871936.65177	6136031.075261	13600652.545725	13164768.023826	2339358.552537	2402664.744989	2288530.948117	7593802.311302	15967770.613387	5379691.137086	4698856.164011	1011418.461761	6930307.7375094	2013	1011418.461761	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	CU_USD									10938727.11549	28562.120265	11113407.950269		182253.529312	171372.721591	2873899.08035925	2013	171372.721591	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	CU_USD	506907261.36099	1138335601.86982	1330034748.83862	46491465.661067	1108642666.40324	1006379897.37853	473707315.263135	484872030.403802	123047357.360962	397243463.510325					397243463.510325	2009	397243463.510325	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	CU_USD										39214389.016303	1160657.703608	50534884.439929	165452.813054	3952207.42161	19005518.2789008	2013	3952207.42161	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	CU_USD	1914940.973598	6392659.321309	953894.015638	8723317.836374	36519338.802067	89719432.753092	37773447.433571	22015628.777622	99720608.137244	79123607.625557	1283702783.7165	729126796.865429	74246593.401705	37658263.596087	440771609.041056	2013	37658263.596087	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	CU_USD	77754428.276971	52496.992075	271.942187						1679620386.44837		8519555.292515				8519555.292515	2010	8519555.292515	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	CU_USD			1422867.006905	852994.251589				50135251.353508		345553.415963	4513972.984151	103085.262745	797337.889074	8829276.952542	2917845.300895	2013	8829276.952542	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	116	104.922836	12.71163737	KHM	Cambodia	1	ANNUAL	CU_USD	236732471.774546	21966916.802583	47566740.722175	19762597.287186	147635486.594378	28011308.302638	44238615.126926	44456014.968167	46913830.781834	919208438.406985	102779143.14238	285114615.312447	23420169.147034	54196469.708399	276943767.143449	2013	54196469.708399	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	120	12.7419827	5.692387031	CMR	Cameroon	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	124	-101.6575058	57.72360191	CAN	Canada	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	132	-23.63544151	15.07791834	CPV	Cabo Verde	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	136	-81.16740559	19.32266656	CYM	Cayman Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	140	20.93559492	7.003720791	CAF	Central African Republic	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	144	80.70489654	7.614693343	LKA	Sri Lanka	1	ANNUAL	CU_USD	503059276.917987	14458717.649605	16608387.52804	166595230.380683	1439493523.21856	59172612.066133	89643897.238536	55245374.458133	50564801.211318	40349113.381943	63559460.508319	375320032.619476	147332162.885347	55274836.101832	136367121.099383	2013	55274836.101832	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	148	18.66618401	15.36279341	TCD	Chad	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	152	-71.23029019	-35.2652885	CHL	Chile	1	ANNUAL	CU_USD	53828019.872235	463313359.602632	302008224.933085	46345392.765302	74728203.972648	253614846.655959	79593539.763846	160882456.895924	1826491308.16183	100649514.539817	22406164648.2909	295213725.790772	127086196.94268	81770675.269394	4602176952.16671	2013	81770675.269394	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	156	104.1403375	32.30955217	CHN	China	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	162	105.6426067	-10.4882473	CXR	Christmas Island	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	166	96.82633757	-12.18600682	CCK	Cocos (Keeling) Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	170	-73.07446751	3.888209046	COL	Colombia	1	ANNUAL	CU_USD	172441754.415393	153083700.772842	125498961.138123	175091980.647792	327409033.521257	675199755.652037	333279407.10759	484462010.454416	1044906209.66071	433716300.695846	1964369878.85666	1969058860.26621	707006928.067918	467528545.008276	1108336102.57898	2013	467528545.008276	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	174	43.34234565	-11.66121732	COM	Comoros	1	ANNUAL	CU_USD												2856886.341757	3496857.168313	258109.780877	2203951.09698233	2013	258109.780877	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	175	45.14015057	-12.82217691	MYT	Mayotte	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	178	15.22052612	-0.840544119	COG	Congo	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	180	23.65496507	-2.877154732	COD	Democratic Republic of the Congo	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	184	-159.7711391	-21.22696458	COK	Cook Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	188	-84.19712782	9.970998683	CRI	Costa Rica	1	ANNUAL	CU_USD	10065728.092643	11286684.935449	29049989.02099	11091258.537332	21718097.729736	18979974.651619	7617524.835925	54116846.66271	24950363.614011	35102431.762714	51216236.928383	14501290.041212	43644384.871079	8370462.65444	30566961.2515656	2013	8370462.65444	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	191	17.95874553	45.45172212	HRV	Croatia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	192	-79.54460144	22.10030366	CUB	Cuba	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	196	33.22285964	35.05659437	CYP	Cyprus	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	203	15.33151382	49.73913871	CZE	Czechia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	204	2.339933594	9.65401646	BEN	Benin	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	208	9.326571283	56.03829721	DNK	Denmark	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	212	-61.3493756	15.43391378	DMA	Dominica	1	ANNUAL	CU_USD								12052533.833949		24496.364044	180223.249753	936985.924688	77863.442855		304892.245335	2012	77863.442855	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	214	-70.49847576	18.89832088	DOM	Dominican Republic	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	218	-78.37005241	-1.447785891	ECU	Ecuador	1	ANNUAL	CU_USD	12132879.962057	130162985.253988	524814704.168882	6693447.884943	20438639.739981	15565669.643457	26639596.048728	33211271.087792	84838841.605129	15870377.745074	5750474.028889	629434213.760767	126701168.742041	44365913.60156	164424429.575666	2013	44365913.60156	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	222	-88.86862995	13.73603564	SLV	El Salvador	1	ANNUAL	CU_USD	9091008.292697	3709042687.19001	81531.090617	7904334.708279	5582686.307566	29706809.961754	36703248.56537	23347663.048179	43464910.095086	17054360.550602	35521884.333218	69508465.798033	1035421.444425	74475.515467	24638921.528349	2013	74475.515467	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	226	10.46535826	1.565792376	GNQ	Equatorial Guinea	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	231	39.63505296	8.631223181	ETH	Ethiopia	1	ANNUAL	CU_USD	82501634.346575	51327135.460054	13604740.403846	42208609.579012	37027834.137366	201747209.159587	309507933.450751	58425941.290578	40700692.12115	2666315.246101	29348299.38898		13130664.077298	7217852.497505	13090782.802471	2013	7217852.497505	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	232	38.11074289	16.12894644	ERI	Eritrea	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	233	25.84093481	58.68487172	EST	Estonia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	234	-7.122044325	62.21228119	FRO	Faroe Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	238	-58.75246778	-51.74562601	FLK	Falkland Islands (Malvinas)	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	239	-36.90662765	-54.20736749	SGS	South Georgia and the South Sandwich Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	242	177.9660884	-17.83301566	FJI	Fiji	1	ANNUAL	CU_USD	236658.782923		44925.057097	83802078.38293	4011165.812262		60167.487184	67387.585646	824695.691001	15163009.003511	17979649.636881	868016.281773	82230521.003544		29060298.9814273	2012	82230521.003544	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	246	23.308447	61.91586738	FIN	Finland	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	248	19.80945969	60.1544901	ALA	Åland Islands	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	250	2.457288129	46.62660861	FRA	France	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	CU_USD	473.443507	56507.126121	1420.330521		13072.374494	23544.635884	94978.874947	47575.469221	102301.442914		38745.843895	73935.258253			56340.551074	2011	73935.258253	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	CU_USD	132365.953666	20033.76596		10732.374622		3577.458207	3577.458207			633210.102673	261154.449125		135943.411873	2270970.469925	825319.608399	2013	2270970.469925	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	CU_USD																			
2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	CU_USD																			
